"Active","Aktiv"
"Add","Tilføj"
"Attention","Attention"
"Carrier Product Service","Labeltype"
"Carrier product service","Labeltype"
"City","By"
"Company","Virksomhed"
"Condition from (incl.)","Betingelse fra (inkl.)"
"Condition til (excl.)","Betingelse til (ekskl.)"
"Condition","Betingelse"
"Configuration","Konfiguration"
"CoolRunner Email","CoolRunner e-mail"
"CoolRunner Shipping Labels","CoolRunner Pakkelabels"
"CoolRunner Token","CoolRunner token"
"Country","Land"
"Create CoolRunner Shipping Label","Opret CoolRunner Pakkelabel"
"Create Shipping Label: %s","Opret Pakkelabel: %s"
"Customer Price","Kundens pris"
"Customers selected shipping method","Kundens valgte leveringsmetode"
"Delete","Slet"
"Download Shipping Labels","Download Pakkelabels"
"Download after create","Download label efter oprettelse"
"Email,"E-mail"
"Freight Rates","Fragtsatser"
"No","Nej"
"Order Qty","Vareantal på ordren"
"Order Weight","Ordrevægt"
"Package Height","Pakkehøjde"
"Package Length","Pakkelængde"
"Package Size","Pakkestørrelse"
"Package Sizes","Pakkestørrelser"
"Package Width","Pakkebredde"
"Phone","Telefon"
"Price List","Prisliste"
"Price excl tax","Pris ekskl. moms"
"Price incl tax","Pris inkl. moms"
"Print Size","Udskriftsformat"
"Save Config","Gem konfiguration"
"Sender Address","Afsenderadresse"
"Sort","Sortering"
"Street 1","Adresse 1"
"Street 2","Adresse 2"
"Subtotal after discount","Subtotal efter rabat"
"Subtotal","Subtotal"
"To","Til"
"Type package size manually","Indtast vægt og mål"
"Weight from (kg)","Vægt fra (kg)"
"Weight to (kg)","Vægt til (kg)"
"Weight up to (kg)","Vægt op til (kg)"
"Yes","Ja"
"Your Title","Titel"
"e.g. DK","Fx DK"
"zipcode","Postnummer"